time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-15T15:38:55.364Z,36.34433365,-97.60557556,2.211308002,2.58,ml,36,59.95294285,0.1404066682,0.6661328085,ok,ok2022baua,2022-01-15T15:42:44.163Z,"4 km NNW of Covington, Oklahoma",earthquake,2.084188708,1.489102298,,28,automatic,ok,ok
2022-01-15T14:59:56.000Z,19.1888332366943,-155.474166870117,32.4799995422363,2.57,ml,46,88,,0.119999997,hv,hv72874807,2022-01-15T15:05:26.460Z,"1 km SSE of P?hala, Hawaii",earthquake,0.51,0.779999971,0.29,4,automatic,hv,hv
2022-01-15T14:41:58.922Z,43.1251,146.1146,79.65,4.8,mb,,135,2.45,1,us,us7000gc8w,2022-01-15T15:02:22.040Z,"49 km ESE of Nemuro, Japan",earthquake,9.7,8.1,0.096,34,reviewed,us,us
2022-01-15T13:35:33.413Z,30.4033,57.3352,10,4.7,mb,,74,5.528,1.09,us,us7000gc8m,2022-01-15T14:34:25.040Z,"28 km ENE of Kerman, Iran",earthquake,7.1,1.8,0.086,41,reviewed,us,us
2022-01-15T13:34:46.595Z,61.4671,-149.9493,19.7,2.7,ml,,,,0.63,ak,ak022p1089k,2022-01-15T14:09:11.195Z,"6 km S of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-01-15T13:26:24.642Z,60.7465,-44.0829,10,4.5,mb,,101,0.772,1.07,us,us7000gc8j,2022-01-15T15:26:03.040Z,"92 km NE of Nanortalik, Greenland",earthquake,6.6,1.9,0.072,57,reviewed,us,us
2022-01-15T13:10:58.770Z,40.3811684,-124.2679977,25.92,2.54,md,12,139,0.06043,0.07,nc,nc73678776,2022-01-15T14:14:10.901Z,"6km NNE of Petrolia, CA",earthquake,1.32,1.59,0.14,7,automatic,nc,nc
2022-01-15T13:03:06.153Z,37.957,44.6121,10,4.2,mb,,101,1.275,0.72,us,us7000gc8f,2022-01-15T13:25:19.040Z,"29 km SSW of Salm?s, Iran",earthquake,6.2,2,0.118,20,reviewed,us,us
2022-01-15T12:50:53.239Z,12.9789,-89.1586,70.59,4.6,mb,,135,0.728,0.55,us,us7000gc8d,2022-01-15T13:11:59.696Z,"59 km SSW of El Rosario, El Salvador",earthquake,6,6.8,0.039,201,reviewed,us,us
2022-01-15T12:25:22.584Z,29.1186,50.319,10,4.4,mb,,78,6.694,0.43,us,us7000gc8a,2022-01-15T12:53:47.040Z,"15 km S of Kh?rk, Iran",earthquake,6.2,1.7,0.082,43,reviewed,us,us
2022-01-15T11:22:09.374Z,36.5878,71.462,95.18,4.3,mb,,59,0.89,0.69,us,us7000gc85,2022-01-15T12:10:50.040Z,"12 km SSW of Ashk?sham, Afghanistan",earthquake,5.7,5.9,0.07,58,reviewed,us,us
2022-01-15T10:43:02.480Z,18.2283,-67.2236,29,3.35,md,27,152,0.0796,0.17,pr,pr2022015000,2022-01-15T13:50:50.284Z,"7 km SSW of La Playa, Puerto Rico",earthquake,0.53,0.93,0.1,23,reviewed,pr,pr
2022-01-15T09:47:13.890Z,17.9405,-66.9788,8,2.88,md,16,222,0.0715,0.17,pr,pr2022015001,2022-01-15T12:55:04.963Z,"8 km ESE of La Parguera, Puerto Rico",earthquake,0.58,0.82,0.22,5,reviewed,pr,pr
2022-01-15T08:41:59.406Z,38.6374,-97.4962,5,3,mb_lg,,45,0.697,0.23,us,us7000gc7n,2022-01-15T15:37:59.529Z,"9 km SW of Gypsum, Kansas",earthquake,4.1,1.8,0.066,59,reviewed,us,us
2022-01-15T06:33:46.720Z,31.5970001,-115.9976654,9.36,3.22,ml,19,158,0.2745,0.16,ci,ci39913151,2022-01-15T06:47:28.040Z,"56km ESE of Maneadero, B.C., MX",earthquake,0.93,2.28,0.221,26,automatic,ci,ci
2022-01-15T06:12:18.236Z,10.5964,-62.3827,76.46,4.1,mb,,71,3.748,0.73,us,us7000gc6y,2022-01-15T06:30:37.040Z,"9 km WNW of Güiria, Venezuela",earthquake,5.5,13.3,0.151,12,reviewed,us,us
2022-01-15T06:05:14.721Z,31.6461,-104.5482,5,2.5,ml,,71,0.046,0.78,us,us7000gc6u,2022-01-15T06:27:31.040Z,"60 km SSW of Whites City, New Mexico",earthquake,1.1,2,0.071,44,reviewed,us,us
2022-01-15T05:57:57.667Z,36.5059,70.9494,197.36,4.2,mb,,80,0.687,0.75,us,us7000gc6t,2022-01-15T06:22:04.040Z,"41 km SSE of Jurm, Afghanistan",earthquake,8.5,6.4,0.108,24,reviewed,us,us
